Quarter End Date,Open,High,Low,Close,Volume,Dividends,ETF
2023-12-31,1780.8599853515625,2071.780029296875,1633.6700439453125,2027.0699462890625,242454140000,0.0,^RUT
2024-03-31,2012.75,2135.4599609375,1898.239990234375,2124.550048828125,250104320000,0.0,^RUT
2024-06-30,2125.909912109375,2126.06005859375,1931.5400390625,2047.68994140625,244622510000,0.0,^RUT
2024-09-30,2050.60009765625,2300.0,1993.27001953125,2229.969970703125,240822520000,0.0,^RUT
2024-12-31,2223.1201171875,2466.489990234375,2170.610107421875,2230.159912109375,249204820000,0.0,^RUT
2025-03-31,2241.820068359375,2326.949951171875,2126.080078125,2163.070068359375,180956380000,0.0,^RUT
2020-03-31,42.02000045776367,85.47000122070312,24.93000030517578,53.540000915527344,0,0.0,^VIX
2020-06-30,57.380001068115234,60.59000015258789,23.540000915527344,30.43000030517578,0,0.0,^VIX
2020-09-30,30.959999084472656,38.279998779296875,20.280000686645508,26.3700008392334,0,0.0,^VIX
2020-12-31,25.780000686645508,41.15999984741211,19.510000228881836,22.75,0,0.0,^VIX
2021-03-31,23.040000915527344,37.5099983215332,18.68000030517578,19.399999618530273,0,0.0,^VIX
2021-06-30,18.600000381469727,28.93000030517578,14.100000381469727,15.829999923706055,0,0.0,^VIX
2021-09-30,15.619999885559082,28.790000915527344,14.25,23.139999389648438,0,0.0,^VIX
2021-12-31,24.780000686645508,35.31999969482422,14.729999542236328,17.219999313354492,0,0.0,^VIX
2022-03-31,17.600000381469727,38.939998626708984,16.34000015258789,20.559999465942383,0,0.0,^VIX
2022-06-30,20.6200008392334,36.63999938964844,18.450000762939453,28.709999084472656,0,0.0,^VIX
2022-09-30,29.530000686645508,34.880001068115234,19.1200008392334,31.6200008392334,0,0.0,^VIX
2022-12-31,33.0,34.529998779296875,18.950000762939453,21.670000076293945,0,0.0,^VIX
2023-03-31,23.09000015258789,30.809999465942383,17.059999465942383,18.700000762939453,0,0.0,^VIX
2023-06-30,19.790000915527344,21.329999923706055,12.729999542236328,13.59000015258789,0,0.0,^VIX
2023-09-30,13.850000381469727,19.709999084472656,12.680000305175781,17.520000457763672,0,0.0,^VIX
2023-12-31,17.309999465942383,23.079999923706055,11.8100004196167,12.449999809265137,0,0.0,^VIX
2024-03-31,13.220000267028809,17.940000534057617,12.350000381469727,13.010000228881836,0,0.0,^VIX
2024-06-30,13.609999656677246,21.360000610351562,11.520000457763672,12.4399995803833,0,0.0,^VIX
2024-09-30,12.979999542236328,65.7300033569336,10.619999885559082,16.729999542236328,0,0.0,^VIX
2024-12-31,16.959999084472656,28.31999969482422,12.699999809265137,17.350000381469727,0,0.0,^VIX
2025-03-31,17.209999084472656,22.510000228881836,14.579999923706055,19.6299991607666,0,0.0,^VIX
2020-03-31,6796.39990234375,6856.2998046875,4898.7998046875,5672.0,39393564100,0.0,^FTSE
