Ticker,Name,Category,Min Investment
FMB,First Trust Managed Municipal ETF,ETF,1.0
EES,WisdomTree U.S. SmallCap Earnings Fund,ETF,1.0
FPE,First Trust Preferred Securities and Income ETF,ETF,1.0
JMUB,JPMorgan Municipal ETF,ETF,1.0
IGSB,iShares 1-5 Year Investment Grade Corporate Bond ETF,ETF,1.0
SPHY,SPDR Portfolio High Yield Bond ETF,ETF,1.0
LDUR,PIMCO Enhanced Low Duration Active Exchange-Traded Fund,ETF,1.0
SCHO,Schwab Short-Term U.S. Treasury ETF,ETF,1.0
YLD,Principal Active High Yield ETF,ETF,1.0
FLMI,Franklin Dynamic Municipal Bond ETF,ETF,1.0
IAGG,iShares Core International Aggregate Bond ETF,ETF,1.0
USTB,VictoryShares Short-Term Bond ETF,ETF,1.0
GAL,SPDR SSgA Global Allocation ETF,ETF,1.0
VGSH,Vanguard Short-Term Treasury Index Fund ETF Shares,ETF,1.0
PHYL,PGIM Active High Yield Bond ETF,ETF,1.0
HYS,PIMCO 0-5 Year High Yield Corporate Bond Index Exchange-Traded Fund,ETF,1.0
FLHY,Franklin High Yield Corporate ETF,ETF,1.0
EWD,iShares MSCI Sweden ETF,ETF,1.0
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,ETF,1.0
MEAR,iShares Short Maturity Municipal Bond Active ETF,ETF,1.0
NEAR,iShares Short Duration Bond Active ETF,ETF,1.0
FYLD,Cambria Foreign Shareholder Yield ETF,ETF,1.0
FIBR,iShares U.S. Fixed Income Balanced Risk Systematic ETF,ETF,1.0
FPXI,First Trust International Equity Opportunities ETF,ETF,1.0
VCSH,Vanguard Short-Term Corporate Bond Index Fund ETF Shares,ETF,1.0
SPTS,SPDR Portfolio Short Term Treasury ETF,ETF,1.0
SHYL,Xtrackers Short Duration High Yield Bond ETF,ETF,1.0
SPSB,SPDR Portfolio Short Term Corporate Bond ETF,ETF,1.0
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,ETF,1.0
JPST,JPMorgan Ultra-Short Income ETF,ETF,1.0
MFLX,First Trust Flexible Municipal High Income ETF,ETF,1.0
HMOP,Hartford Municipal Opportunities ETF,ETF,1.0
CBON,VanEck China Bond ETF,ETF,1.0
VNLA,Janus Henderson Short Duration Income ETF,ETF,1.0
MFDX,PIMCO RAFI Dynamic Multi-Factor International Equity ETF,ETF,1.0
NUDM,Nuveen ESG International Developed Markets Equity ETF,ETF,1.0
BSJP,Invesco BulletShares 2025 High Yield Corporate Bond ETF,ETF,1.0
PULS,PGIM Ultra Short Bond ETF,ETF,1.0
AADR,AdvisorShares Dorsey Wright ADR ETF,ETF,1.0
GSY,Invesco Ultra Short Duration ETF,ETF,1.0
VEA,Vanguard FTSE Developed Markets Index Fund ETF Shares,ETF,1.0
FLTR,VanEck IG Floating Rate ETF,ETF,1.0
QEFA,SPDR MSCI EAFE StrategicFactors ETF,ETF,1.0
FLBL,Franklin Senior Loan ETF,ETF,1.0
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,ETF,1.0
FLOT,iShares Floating Rate Bond ETF,ETF,1.0
SMMU,PIMCO Short Term Municipal Bond Active Exchange-Traded Fund,ETF,1.0
SCHF,Schwab International Equity ETF,ETF,1.0
GOEX,Global X Gold Explorers ETF,ETF,1.0
JMST,JPMorgan Ultra-Short Municipal Income ETF,ETF,1.0
FLRT,Pacer Pacific Asset Floating Rate High Income ETF,ETF,1.0
